Handle,Command,Title,Body HTML,Vendor,Type,Tags,Tags Command,Status,Published,Published Scope,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Variant Fulfillment Service,SEO Title,SEO Description,Smart Collections,Metafield: divine.product_notes [single_line_text_field]
organic-tart-cherries-powder,MERGE,Organic Tart Cherries Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,24.58,shopify,deny,TRUE,TRUE,g,manual,Organic Tart Cherries Powder,,All Powders; All Organic,
organic-turmeric-herbal-tea,MERGE,Organic Turmeric Herbal Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Detox, Function_Immunity, Organic, Type_Herbal Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Turmeric Herbal Tea,,Detox; Immunity; Herbal Tea; All Teas; All Organic,
organic-turmeric-powder,MERGE,Organic Turmeric Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Turmeric Powder,,All Powders; All Organic,
organic-ube-powder,MERGE,Organic Ube Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Ube Powder,,All Powders; All Organic,
organic-valerian-root-botanicals,MERGE,Organic Valerian Root Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Valerian Root Botanicals,,Spices & Botanicals; All Organic,
passion-berry-iced-tea,MERGE,Passion Berry Iced Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Iced Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Passion Berry Iced Tea,,Iced Tea; All Teas,
peach-mango-tango-green-tea,MERGE,Peach Mango Tango Green Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Green Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Peach Mango Tango Green Tea,,Green Tea; All Teas,
peach-oolong-tea,MERGE,Peach Oolong Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Oolong Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Peach Oolong Tea,,Oolong Tea; All Teas,
pumpkin-chai-black-tea,MERGE,Pumpkin Chai Black Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Black Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Pumpkin Chai Black Tea,,Black Tea; All Teas,
rainbow-rain-green-tea,MERGE,Rainbow Rain Green Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Green Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Rainbow Rain Green Tea,,Green Tea; All Teas,
