"ID","File Name","Command","Link","Alt Text","Created At","Type","Mime Type","Width","Height","Duration","Status","Errors"
"gid://shopify/MediaImage/16003366977711","BT.Mumbaai1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Mumbaai1.jpg?v=1750439450","Mumbai Chai Black Tea","2020-12-01 05:34:16 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003368779951","BT.Pinada1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Pinada1.jpg?v=1750439449","Pina Colada White Tea","2020-12-01 05:34:18 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003369304239","ST.Puerea1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Puerea1.jpg?v=1750439448","Puerh Black Tea","2020-12-01 05:34:20 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003372122287","BT.Punses1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Punses1.jpg?v=1750439445","Red Roses Black Tea","2020-12-01 05:34:24 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003373236399","GT.Elderen1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Elderen1.jpg?v=1750439443","Elderberry Green Tea","2020-12-01 05:34:26 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003374350511","ST.Genamha1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Genamha1.jpg?v=1750439442","Japanese Genmaicha Green Tea","2020-12-01 05:34:28 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003376021679","ST.Gyokuro1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Gyokuro1.jpg?v=1750439439","Japanese Gyokuro Green Tea","2020-12-01 05:34:32 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003377823919","ST.Hojicen1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Hojicen1.jpg?v=1750439437","Japanese Hojicha Green Tea","2020-12-01 05:34:36 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003378675887","GT.Indiaen1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Indiaen1.jpg?v=1750439436","India Kashmiri Chai Green Tea","2020-12-01 05:34:38 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003379986607","ST.Japanha1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Japanha1.jpg?v=1750439434","Japanese Sencha Green Tea","2020-12-01 05:34:40 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
